Iteration	Y	var_1	var_2	var_3	var_4	var_5	var_6	var_7	var_8	var_9	var_10	var_11	var_12	var_13
1.0	37766.91445534801	81.91052523224145	40.64963488101146	88.27267464014383	80.42225478242115	71.39666269401216	37.125104758921154	7.96657518809154	7.636301325415373	4.506399606481356	7.084757290651411	2.3162328183170637	1.7235339405625354	0.028559571275278587
2.0	33809.13158431359	53.634122765610535	9.368394023681587	57.518232327601126	5.771077239608129	16.25615599092317	65.04097493718817	7.701977493085493	3.704543341921618	3.7520295315359977	8.993513304370316	1.203238569129884	1.1389802285890844	0.6795546241084557
3.0	36208.96796064776	53.67020412809566	17.252680414295313	64.39107695335375	87.92801384416332	24.01744828815795	93.60369361748178	0.8179101863922195	9.250719829920483	0.6478911623389964	5.833683203622914	2.127710898677763	0.9987479128149473	0.6137247406809372
4.0	33779.78094970582	61.73436920181528	14.864164196280875	43.42167703115693	3.066268763349673	20.956922559510907	66.79839510826395	4.3616077759534635	5.092895247311428	2.7106174163025636	4.086137721109868	2.602421901805672	0.7689222762316285	1.599767633275315
5.0	37912.280163371615	74.81382681676844	34.01997691771931	39.73239390997548	41.483759998450395	60.74787140698392	24.523617038243128	0.7027586325455543	3.256546285843297	9.458030608815026	6.531022485537044	2.0874371036780004	1.7534554683251629	1.870593451871351
6.0	35288.91234681071	56.720136663608066	21.498338406961025	50.52269896319447	9.093078103515323	27.913431950389587	43.32861131547431	5.095074256934349	2.8266430667250195	1.6787640254423557	8.186822959381658	0.008099964385673881	2.4081471217210413	0.6736268359613868
7.0	35561.9510106904	62.39806630001028	20.514222633807144	35.63840454769685	6.837807092507402	32.59055537024028	69.28716085200388	6.720039724149521	6.902437641515361	2.2977838924897447	3.317280058069551	0.07347249467055857	2.4271166683735266	2.5230571878413506
8.0	35223.775244253455	47.10474614370633	19.423426305160596	41.81468671460107	12.97165950070921	34.31937181769983	48.098740932597664	5.177220929877022	1.0743341109356426	2.3652233716079585	7.204412250743587	0.7895033194662866	1.9148694716412007	1.66813978751075
9.0	36035.39121933841	34.7145944272088	9.944249687977054	57.285375569031224	21.091795305664036	16.815432666493244	68.48653091287092	8.766077915102466	0.8287180901968759	7.969955866650384	3.4959722646891613	0.5787600934260919	0.32014252288981637	2.7445098465149065
10.0	36447.415347119364	45.487313504056395	33.05471730872292	46.31936464665854	26.340282959331613	19.42894928813577	48.40154378410593	7.563660356467546	2.391488762226232	0.8994189599154208	5.462903364843355	0.7775871132921066	1.6017332247452356	2.7430501088840296
