Iteration, Objective function, Best objective function, Parameters, Time elapsed (s)
311 3116.212 1418.252 [100.000 0.010 18.174 0.010 0.004 0.057] 10360.539675 
312 1553.276 1418.252 [100.000 0.039 6.043 0.010 0.004 0.053] 10443.192958 
313 1459.223 1418.252 [32.221 0.033 3.074 0.494 0.002 0.052] 10532.109655 
314 1537.367 1418.252 [42.649 0.058 1.041 0.278 0.016 0.060] 10611.261796 
315 1592.620 1418.252 [100.000 0.020 3.788 0.010 0.009 0.034] 10700.287826 
316 1690.820 1418.252 [6.942 0.445 0.237 0.970 0.002 0.097] 10776.801454 
317 1487.509 1418.252 [100.000 0.034 4.931 0.020 0.006 0.051] 10862.183885 
318 1738.894 1418.252 [100.000 0.010 11.009 0.010 0.000 0.026] 10934.694858 
319 1619.823 1418.252 [100.000 0.016 7.886 0.010 0.001 0.031] 11007.718730 
320 1408.253 1408.253 [1.851 4.583 0.152 1.769 0.014 0.202] 11090.611359 
321 2929.069 1408.253 [100.000 0.010 0.652 0.010 0.061 0.007] 11175.332534 
322 1728.555 1408.253 [4.525 0.142 0.239 1.646 0.001 0.059] 11262.367940 
323 1430.475 1408.253 [100.000 0.027 9.118 0.010 0.000 0.055] 11329.252142 
324 1460.698 1408.253 [100.000 0.024 11.585 0.010 0.000 0.057] 11421.020628 
325 1625.164 1408.253 [34.682 0.024 5.435 0.327 0.000 0.037] 11524.111972 
326 2449.745 1408.253 [100.000 0.016 11.161 0.010 0.000 0.068] 11612.285057 
327 2884.820 1408.253 [100.000 0.034 8.328 0.010 0.000 0.029] 11707.003936 
328 2492.961 1408.253 [100.000 0.157 4.960 0.010 0.000 0.196] 11948.488905 
329 1546.520 1408.253 [100.000 0.045 7.465 0.015 0.000 0.089] 12031.293933 
330 1459.530 1408.253 [100.000 0.031 10.334 0.010 0.001 0.067] 12117.565481 
331 1501.414 1408.253 [58.296 0.049 8.660 0.010 0.000 0.084] 12190.356804 
332 1412.763 1408.253 [23.354 0.042 3.405 0.384 0.000 0.076] 12253.492599 
333 1421.240 1408.253 [7.714 0.035 1.589 1.154 0.000 0.057] 12324.743610 
334 1426.414 1408.253 [12.432 0.037 1.568 0.845 0.000 0.061] 12427.215649 
335 1409.845 1408.253 [13.916 0.034 2.296 0.807 0.000 0.063] 12507.692205 
336 1402.937 1402.937 [5.872 0.039 2.542 0.703 0.000 0.056] 12578.117480 
337 1605.707 1402.937 [3.387 0.090 0.639 1.506 0.000 0.063] 12661.606719 
338 1422.345 1402.937 [7.193 0.055 1.830 1.005 0.000 0.072] 12742.903297 
339 1395.127 1395.127 [5.799 0.054 1.321 0.740 0.000 0.062] 12834.317678 
340 2428.310 1395.127 [1.049 0.010 0.552 10.000 0.000 0.022] 12909.571347 
341 2990.987 1395.127 [1.105 0.049 0.182 3.124 0.000 0.016] 12994.612322 
342 1366.238 1366.238 [3.474 0.080 0.827 1.325 0.000 0.077] 13078.590625 
343 1611.415 1366.238 [2.378 0.028 0.730 2.660 0.000 0.043] 13156.325082 
344 1800.214 1366.238 [3.450 0.616 1.025 0.401 0.000 0.177] 13247.033038 
345 1402.073 1366.238 [3.970 0.298 0.543 1.050 0.000 0.143] 13334.139045 
346 1299.602 1299.602 [3.991 0.123 1.438 0.666 0.000 0.116] 13421.137588 
347 1446.755 1299.602 [2.900 0.161 1.143 0.772 0.000 0.105] 13507.151231 
348 1896.392 1299.602 [6.212 0.212 4.248 0.170 0.000 0.178] 13593.219774 
349 1294.031 1294.031 [3.912 0.188 0.624 0.981 0.001 0.129] 13698.318027 
350 1268.698 1268.698 [3.526 0.046 1.451 1.025 0.000 0.082] 13783.531567 
351 1467.143 1268.698 [3.592 0.689 0.716 0.541 0.002 0.236] 13870.598030 
352 1253.088 1253.088 [4.354 0.069 1.322 0.913 0.000 0.102] 13960.318875 
353 2537.345 1253.088 [2.170 0.010 0.249 10.000 0.001 0.029] 14036.444606 
354 2510.981 1253.088 [18.773 0.286 3.629 0.040 0.005 0.221] 14113.445094 
355 4954.960 1253.088 [6.487 2.935 5.714 0.010 0.000 0.375] 14193.270008 
356 1389.416 1253.088 [4.996 0.240 0.926 0.537 0.001 0.178] 14280.521667 
357 1353.058 1253.088 [4.213 0.345 0.602 0.452 0.005 0.162] 14371.421352 
358 2187.182 1253.088 [100.000 0.123 3.530 0.010 0.013 0.159] 14457.666606 
359 1251.937 1251.937 [2.794 0.438 0.391 0.757 0.003 0.166] 14561.985880 
360 1887.249 1251.937 [2.034 0.010 2.281 1.732 0.000 0.029] 14669.772447 
361 1293.947 1251.937 [3.657 0.327 0.515 0.660 0.002 0.152] 14759.620900 
362 1267.818 1251.937 [2.474 0.730 0.331 0.822 0.007 0.190] 14853.588027 
363 1254.487 1251.937 [3.738 0.043 2.048 0.804 0.001 0.078] 14923.443688 
364 1241.972 1241.972 [3.499 0.046 1.764 0.908 0.000 0.079] 15024.629561 
365 1223.820 1223.820 [2.843 0.403 0.499 0.844 0.004 0.192] 15128.316695 
366 1293.280 1223.820 [5.169 0.083 1.318 0.600 0.002 0.113] 15238.381150 
367 1216.721 1216.721 [3.619 0.089 1.528 0.863 0.001 0.128] 15340.575586 
368 1291.129 1216.721 [4.450 0.057 1.236 1.100 0.001 0.096] 15406.424934 
369 1189.877 1189.877 [2.474 0.184 1.180 0.604 0.002 0.155] 15502.418167 
370 1658.384 1189.877 [3.466 0.989 0.120 0.718 0.000 0.096] 15577.145725 
371 1591.194 1189.877 [3.789 1.440 0.186 0.879 0.000 0.189] 15663.823247 
372 1315.758 1189.877 [3.701 0.142 2.226 0.406 0.001 0.155] 15746.550658 
373 1291.238 1189.877 [2.047 0.046 2.742 1.549 0.001 0.088] 15805.173339 
374 3818.472 1189.877 [1.570 0.010 3.534 10.000 0.001 0.050] 15877.924767 
375 1184.609 1184.609 [2.130 0.086 1.647 0.954 0.001 0.105] 15974.358477 
376 1163.968 1163.968 [2.023 0.076 1.631 1.136 0.000 0.111] 16076.062330 
377 1414.521 1163.968 [1.256 0.071 4.755 0.753 0.000 0.098] 16159.207648 
378 1212.748 1163.968 [2.006 0.078 3.153 0.773 0.000 0.116] 16250.226856 
379 1308.688 1163.968 [1.320 0.053 2.337 1.197 0.000 0.076] 16337.519149 
380 1449.706 1163.968 [1.666 0.124 2.366 1.196 0.000 0.159] 16422.701234 
381 1209.717 1163.968 [1.923 0.168 1.339 0.897 0.001 0.170] 16493.923771 
382 1521.274 1163.968 [4.372 0.390 0.251 1.117 0.000 0.156] 16676.231848 
383 1238.122 1163.968 [1.667 0.462 0.482 0.796 0.001 0.189] 16761.243438 
384 1359.436 1163.968 [1.455 0.154 1.886 0.469 0.000 0.141] 16868.568353 
385 1420.724 1163.968 [1.382 0.515 0.613 0.730 0.003 0.195] 16977.165644 
386 1389.630 1163.968 [2.901 0.416 0.285 0.904 0.025 0.171] 17054.924523 
387 1169.314 1163.968 [2.554 0.073 2.617 0.646 0.000 0.108] 17149.726706 
388 1166.936 1163.968 [2.300 0.307 0.616 0.812 0.001 0.201] 17241.828974 
389 1470.208 1163.968 [1.289 0.881 0.290 1.143 0.000 0.144] 17329.355779 
390 1123.524 1123.524 [2.157 0.130 1.010 0.843 0.001 0.141] 17433.591479 
391 1738.220 1123.524 [100.000 0.010 12.831 0.041 0.001 0.026] 17526.531505 
392 1348.516 1123.524 [1.739 0.414 0.207 1.633 0.000 0.128] 17616.371206 
393 1277.179 1123.524 [1.610 0.317 0.264 1.414 0.009 0.145] 17710.028222 
394 1162.361 1123.524 [1.530 0.151 0.600 1.347 0.001 0.132] 17803.589639 
395 1129.046 1123.524 [2.145 0.150 0.752 0.924 0.002 0.153] 17950.017932 
396 1258.004 1123.524 [3.887 0.041 9.559 0.283 0.000 0.080] 18033.464093 
397 4460.183 1123.524 [0.715 0.098 0.397 10.000 0.000 0.137] 18115.115200 
398 1290.517 1123.524 [4.722 0.030 9.352 0.457 0.000 0.069] 18223.346480 
399 1273.687 1123.524 [3.935 0.048 6.754 0.521 0.000 0.102] 18333.430470 
400 1120.944 1120.944 [1.987 0.156 0.785 0.943 0.001 0.148] 18433.618857 
401 2037.540 1120.944 [1.188 0.010 100.000 0.260 0.000 0.021] 18525.426418 
402 1413.022 1120.944 [2.401 0.018 24.847 0.399 0.000 0.041] 18637.689651 
403 1848.340 1120.944 [1.511 0.048 100.000 0.224 0.000 0.075] 18716.479688 
404 1602.641 1120.944 [4.123 0.022 50.363 0.115 0.000 0.042] 18818.844494 
405 1700.404 1120.944 [1.137 0.034 34.880 0.159 0.000 0.051] 18927.140683 
406 1453.657 1120.944 [2.500 0.029 42.311 0.279 0.000 0.056] 19058.621865 
407 1394.979 1120.944 [16.089 0.026 15.409 0.098 0.001 0.061] 19149.617342 
408 1482.570 1120.944 [12.775 0.015 20.097 0.251 0.000 0.041] 19260.991920 
409 1746.628 1120.944 [30.913 0.010 13.969 0.010 0.001 0.024] 19360.361090 
410 1432.035 1120.944 [2.744 0.062 22.879 0.219 0.000 0.109] 19451.762462 
411 1433.036 1120.944 [35.434 0.036 7.162 0.014 0.004 0.068] 19556.304872 
412 2282.709 1120.944 [21.252 0.010 1.340 0.010 0.020 0.012] 19661.259969 
413 1506.394 1120.944 [30.919 0.053 1.814 0.035 0.019 0.061] 19750.898868 
414 3261.157 1120.944 [9.722 0.010 0.170 0.067 0.089 0.004] 19852.426497 
415 1360.621 1120.944 [6.237 0.025 7.735 0.172 0.002 0.051] 19935.468809 
416 1144.910 1120.944 [1.741 0.090 0.899 1.044 0.001 0.109] 20038.237351 
417 1365.459 1120.944 [8.260 0.039 11.032 0.261 0.002 0.084] 20149.605314 
418 1210.382 1120.944 [1.824 0.038 5.237 0.604 0.001 0.083] 20239.824548 
419 1247.005 1120.944 [3.083 0.046 9.972 0.219 0.001 0.091] 20357.159590 
420 13315.312 1120.944 [0.204 0.185 0.010 0.010 0.000 0.000] 20476.062771 
421 13487.601 1120.944 [0.533 0.010 0.561 0.010 3.000 0.000] 20563.897161 
422 3011.600 1120.944 [0.241 0.010 0.018 0.585 3.000 0.002] 20671.599925 
423 3291.867 1120.944 [0.527 0.036 0.049 0.607 0.500 0.010] 20787.138915 
424 1363.637 1120.944 [8.661 0.063 3.107 0.113 0.006 0.090] 20892.321771 
425 1395.710 1120.944 [19.376 0.034 6.501 0.062 0.004 0.063] 21008.002568 
426 9046.030 1120.944 [0.531 0.797 100.000 0.010 0.000 0.255] 21106.208435 
427 1175.442 1120.944 [2.192 0.191 0.565 0.741 0.005 0.144] 21222.473544 
428 2614.442 1120.944 [0.057 0.046 0.023 1.199 3.000 0.004] 21361.091796 
429 1530.673 1120.944 [7.732 0.101 0.671 0.151 0.030 0.087] 21490.924230 
430 4091.142 1120.944 [11.770 0.010 0.108 0.010 3.000 0.008] 21598.439384 
431 2653.161 1120.944 [15.162 0.035 0.356 0.029 0.221 0.028] 21714.685287 
432 3108.390 1120.944 [0.744 0.035 0.034 0.065 3.000 0.006] 21827.806977 
433 1363.771 1120.944 [3.783 0.148 1.349 0.322 0.007 0.168] 21946.574377 
434 1260.794 1120.944 [1.630 0.323 0.421 0.823 0.000 0.126] 22081.003645 
435 3419.397 1120.944 [3.255 0.010 0.052 0.143 3.000 0.009] 22206.245457 
436 2623.395 1120.944 [4.274 0.010 0.072 0.010 0.477 0.005] 22304.384207 
437 1210.491 1120.944 [2.980 0.052 4.068 0.388 0.001 0.096] 22418.526304 
438 2817.407 1120.944 [0.272 0.010 100.000 2.316 0.000 0.045] 22541.317617 
439 1456.666 1120.944 [1.309 0.020 48.656 0.429 0.000 0.073] 22643.553137 
440 1155.159 1120.944 [1.857 0.181 0.539 0.947 0.002 0.137] 22757.951642 
441 1908.594 1120.944 [0.808 0.027 73.306 0.748 0.000 0.049] 22847.749378 
442 4040.668 1120.944 [19.471 0.010 0.049 0.026 0.501 0.006] 22972.054877 
443 1737.564 1120.944 [2.418 0.194 0.163 0.448 0.095 0.076] 23080.258277 
444 2652.904 1120.944 [0.446 0.010 0.029 0.035 3.000 0.005] 23209.084509 
445 1177.145 1120.944 [1.726 0.062 2.244 0.832 0.001 0.116] 23331.547045 
446 1380.375 1120.944 [2.542 0.296 0.388 0.736 0.007 0.191] 23431.578703 
447 1375.770 1120.944 [1.366 0.433 0.297 0.838 0.024 0.112] 23541.235542 
448 1614.296 1120.944 [4.528 0.420 0.566 0.175 0.072 0.125] 23664.791132 
449 1136.641 1120.944 [1.891 0.142 0.765 0.990 0.003 0.126] 23785.524841 
450 1750.669 1120.944 [17.524 0.141 1.661 0.091 0.029 0.121] 23892.536006 
451 1126.122 1120.944 [1.822 0.191 0.654 1.050 0.000 0.160] 24029.603293 
452 1262.246 1120.944 [1.773 0.032 11.808 0.445 0.000 0.082] 24153.422650 
453 3009.484 1120.944 [100.000 100.000 0.041 10.000 0.007 0.232] 24424.351297 
454 1136.827 1120.944 [2.214 0.142 0.947 0.682 0.003 0.131] 24538.368326 
455 1347.373 1120.944 [3.063 0.271 0.708 0.324 0.020 0.118] 24649.246098 
456 1893.706 1120.944 [38.501 0.010 5.348 0.018 0.004 0.027] 24756.134609 
457 1350.326 1120.944 [3.886 0.020 19.408 0.175 0.000 0.055] 24898.364409 
458 1161.717 1120.944 [1.883 0.336 0.559 0.929 0.000 0.194] 25011.742427 
459 2085.868 1120.944 [9.295 0.124 1.702 0.010 0.035 0.068] 25139.781975 
460 1811.142 1120.944 [4.725 0.109 1.342 0.059 0.028 0.061] 25271.766998 
461 1394.905 1120.944 [5.736 0.062 8.445 0.089 0.002 0.090] 25438.545709 
462 1339.978 1120.944 [7.884 0.048 5.738 0.172 0.001 0.085] 25581.593245 
463 10064.677 1120.944 [0.010 1.375 0.101 0.254 3.000 0.005] 25688.791086 
464 1483.801 1120.944 [26.894 0.037 3.264 0.010 0.022 0.057] 25807.863909 
465 1375.614 1120.944 [2.226 1.032 0.412 0.411 0.029 0.197] 25919.194679 
466 2020.248 1120.944 [0.383 0.010 14.363 1.166 0.000 0.029] 26026.148770 
467 5946.128 1120.944 [0.053 0.010 1.603 10.000 0.000 0.011] 26148.444769 
468 1590.327 1120.944 [1.242 0.010 27.088 0.703 0.000 0.036] 26278.406240 
469 1312.917 1120.944 [1.966 0.717 0.284 0.616 0.103 0.149] 26391.956330 
470 1275.792 1120.944 [1.973 0.032 2.211 0.930 0.002 0.060] 26485.010276 
471 1778.126 1120.944 [1.297 0.507 0.166 0.497 0.798 0.121] 26574.286987 
472 13209.177 1120.944 [0.010 100.000 0.911 0.370 0.000 0.000] 26691.334791 
473 2725.826 1120.944 [0.243 0.025 0.029 0.516 3.000 0.015] 26787.318030 
474 1515.175 1120.944 [1.402 1.858 0.194 0.514 0.311 0.152] 26890.764060 
475 6254.815 1120.944 [100.000 100.000 0.148 0.010 0.000 0.060] 26998.366900 
476 1203.552 1120.944 [3.146 0.065 2.515 0.353 0.004 0.085] 27134.185021 
477 2372.489 1120.944 [2.176 0.010 0.125 0.033 0.901 0.007] 27265.097809 
478 1139.289 1120.944 [2.157 0.195 0.648 0.928 0.003 0.145] 27385.399275 
479 5918.183 1120.944 [0.614 100.000 0.010 10.000 3.000 0.007] 27492.223767 
480 1821.280 1120.944 [2.427 1.804 0.342 0.519 0.484 0.384] 27598.064100 
481 1134.814 1120.944 [2.085 0.082 1.503 0.722 0.002 0.112] 27707.933567 
482 1266.116 1120.944 [1.780 0.028 4.346 0.891 0.000 0.066] 27842.089001 
483 1448.992 1120.944 [1.704 0.416 0.438 0.264 0.123 0.165] 27955.313394 
484 2655.714 1120.944 [14.882 0.010 0.555 0.010 0.132 0.017] 28095.827584 
485 1436.256 1120.944 [3.323 0.131 0.468 0.318 0.112 0.091] 28234.729163 
486 1344.153 1120.944 [1.826 0.772 0.355 0.597 0.000 0.210] 28376.745316 
487 1260.890 1120.944 [2.497 0.025 14.077 0.365 0.001 0.060] 28494.816990 
488 3065.774 1120.944 [4.630 0.010 100.000 0.010 0.000 0.014] 28602.042616 
489 3362.897 1120.944 [11.122 0.718 2.256 0.010 0.240 0.291] 28725.119588 
490 1165.069 1120.944 [2.422 0.082 1.065 0.650 0.006 0.097] 28831.141668 
491 1152.061 1120.944 [1.723 0.161 0.692 0.844 0.011 0.126] 28947.264867 
492 21362.210 1120.944 [100.000 0.558 3.003 0.010 3.000 3.000] 29067.040783 
493 4398.680 1120.944 [4.628 3.312 3.039 0.010 0.047 0.271] 29163.472077 
494 1120.726 1120.726 [2.032 0.175 0.680 1.023 0.001 0.158] 29275.460326 
495 1205.390 1120.726 [2.462 0.049 6.720 0.283 0.003 0.087] 29390.547374 
496 1157.576 1120.726 [1.721 0.125 1.054 0.638 0.007 0.119] 29512.017642 
497 1258.853 1120.726 [3.850 0.058 1.648 0.260 0.017 0.076] 29621.997295 
498 1757.661 1120.726 [2.691 0.486 0.560 0.070 0.409 0.101] 29741.200268 
499 1794.847 1120.726 [2.012 1.239 0.676 0.207 0.223 0.179] 29893.176256 
500 1285.771 1120.726 [4.504 0.037 4.263 0.299 0.005 0.072] 30049.322456 
501 1131.819 1120.726 [2.041 0.161 0.955 0.840 0.000 0.166] 30174.010824 
502 1421.027 1120.726 [11.635 0.038 2.993 0.054 0.021 0.058] 30294.975178 
503 1281.881 1120.726 [1.244 0.105 0.483 1.428 0.009 0.092] 30426.618869 
504 6223.652 1120.726 [0.131 0.010 100.000 10.000 0.004 0.009] 30579.877520 
505 1591.616 1120.726 [0.943 0.025 100.000 0.956 0.001 0.073] 30702.607484 
506 1657.691 1120.726 [0.792 0.032 26.379 0.748 0.001 0.080] 30835.364101 
507 1486.472 1120.726 [2.001 0.010 100.000 1.401 0.001 0.044] 30965.396959 
508 1397.166 1120.726 [2.023 0.017 100.000 1.110 0.000 0.068] 31079.123916 
509 1165.040 1120.726 [2.014 0.054 3.435 0.637 0.003 0.095] 31197.412410 
510 1193.001 1120.726 [1.700 0.049 2.466 0.501 0.005 0.078] 31314.777737 
511 1347.943 1120.726 [1.972 0.014 100.000 0.492 0.001 0.050] 31429.599787 
512 3192.829 1120.726 [0.705 0.146 0.178 10.000 0.080 0.115] 31537.586585 
513 1469.699 1120.726 [3.244 0.024 100.000 0.789 0.001 0.066] 31675.900326 
514 1182.316 1120.726 [2.103 0.110 0.795 0.490 0.020 0.100] 31787.745068 
515 1346.683 1120.726 [2.292 0.020 42.482 0.673 0.001 0.072] 31912.461896 
516 1242.253 1120.726 [1.935 0.031 7.405 0.541 0.003 0.062] 32001.888414 
517 1565.581 1120.726 [4.842 0.171 1.007 0.047 0.130 0.112] 32124.564732 
518 1447.467 1120.726 [2.438 0.112 0.359 0.105 0.237 0.056] 32256.130601 
519 2890.476 1120.726 [3.320 0.140 0.641 0.010 0.414 0.038] 32376.857332 
520 1301.745 1120.726 [4.078 0.027 28.828 0.118 0.001 0.063] 32536.142834 
521 8898.732 1120.726 [0.010 1.209 100.000 10.000 0.322 0.001] 32644.036152 
522 1394.960 1120.726 [5.862 0.039 29.886 0.039 0.001 0.078] 32770.937537 
523 1501.127 1120.726 [6.041 0.014 34.043 0.046 0.001 0.035] 32917.007028 
524 8745.412 1120.726 [2.055 0.010 100.000 10.000 0.004 0.101] 33044.017863 
525 1791.475 1120.726 [1.593 0.017 100.000 0.969 0.001 0.037] 33167.665227 
526 1464.836 1120.726 [2.987 0.039 100.000 0.282 0.001 0.110] 33305.137807 
527 19702.347 1120.726 [0.010 0.010 100.000 2.310 0.029 0.000] 33410.072115 
528 1588.788 1120.726 [3.913 0.040 0.600 0.166 0.061 0.044] 33508.225496 
529 1380.009 1120.726 [11.006 0.029 22.230 0.029 0.002 0.065] 33623.478678 
530 2271.178 1120.726 [0.085 0.010 0.046 10.000 3.000 0.004] 33757.373045 
531 8883.584 1120.726 [0.415 100.000 100.000 0.010 0.023 0.033] 33886.970033 
532 1747.363 1120.726 [5.880 0.010 100.000 0.614 0.001 0.053] 34036.510863 
533 1903.526 1120.726 [17.455 0.102 8.158 0.010 0.013 0.113] 34181.147254 
534 1702.283 1120.726 [11.339 0.010 17.605 0.034 0.000 0.026] 34305.428768 
535 1273.477 1120.726 [2.305 0.043 18.127 0.319 0.001 0.097] 34423.305886 
536 7872.502 1120.726 [0.010 100.000 100.000 0.520 0.250 0.003] 34559.658929 
537 1303.129 1120.726 [2.143 0.020 100.000 0.391 0.002 0.068] 34688.236699 
538 1200.812 1120.726 [1.924 0.154 0.424 1.471 0.004 0.119] 34837.120447 
539 1177.230 1120.726 [1.726 0.055 3.112 0.557 0.002 0.089] 34986.247708 
540 1373.498 1120.726 [9.901 0.032 14.645 0.010 0.001 0.062] 35106.660311 
541 1336.248 1120.726 [6.125 0.026 14.799 0.033 0.001 0.058] 35243.648719 
542 1145.222 1120.726 [2.083 0.249 0.560 0.906 0.000 0.172] 35380.223649 
543 1129.702 1120.726 [1.886 0.119 1.080 0.880 0.000 0.129] 35517.427208 
544 1398.093 1120.726 [17.736 0.028 15.922 0.018 0.001 0.058] 35678.189193 
545 1389.295 1120.726 [5.185 0.045 14.703 0.036 0.000 0.073] 35841.969722 
546 1945.334 1120.726 [2.094 0.054 100.000 0.184 0.003 0.079] 35977.039045 
547 1478.386 1120.726 [8.256 0.024 11.740 0.010 0.005 0.043] 36122.675165 
548 1249.990 1120.726 [1.842 0.396 0.633 0.604 0.024 0.178] 36264.991744 
549 1670.117 1120.726 [2.390 0.010 21.792 0.269 0.003 0.035] 36416.596511 
550 1663.121 1120.726 [3.788 0.010 30.116 0.010 0.001 0.025] 36555.730173 
551 2294.046 1120.726 [2.394 0.010 0.431 1.828 0.004 0.016] 36680.476716 
552 1304.373 1120.726 [4.566 0.028 11.254 0.060 0.005 0.059] 36796.863495 
553 1844.395 1120.726 [3.581 0.208 0.305 0.146 0.321 0.104] 36922.508246 
554 1620.442 1120.726 [5.052 0.027 33.232 0.011 0.001 0.046] 37066.802975 
555 1221.557 1120.726 [2.277 0.129 0.900 0.211 0.052 0.090] 37187.409424 
556 1444.671 1120.726 [1.227 0.170 0.404 0.367 0.138 0.069] 37337.436051 
557 1162.303 1120.726 [2.149 0.083 1.974 0.405 0.011 0.097] 37460.999285 
558 1457.838 1120.726 [1.764 4.107 0.273 0.932 0.004 0.358] 37589.073086 
559 1203.751 1120.726 [2.642 0.058 4.468 0.191 0.010 0.085] 37707.920866 
560 1125.835 1120.726 [1.841 0.117 1.090 0.961 0.000 0.137] 37883.274998 
561 2184.112 1120.726 [1.538 3.722 0.033 1.276 0.000 0.046] 37999.139729 
562 1615.483 1120.726 [1.348 4.829 0.149 0.430 0.000 0.146] 38136.065314 
563 1701.733 1120.726 [1.157 5.364 0.120 0.914 0.001 0.165] 38274.379782 
564 1180.765 1120.726 [2.061 0.338 0.356 1.322 0.001 0.179] 38434.909398 
565 2137.717 1120.726 [4.304 8.855 0.048 0.353 0.000 0.091] 38615.810392 
566 1666.209 1120.726 [2.549 100.000 0.090 0.010 0.000 0.150] 38757.612371 
567 1815.787 1120.726 [1.340 100.000 0.049 0.046 0.000 0.093] 38899.240342 
568 2040.646 1120.726 [2.642 100.000 0.103 0.034 0.000 0.245] 39047.980778 
569 1712.309 1120.726 [1.927 24.786 0.094 0.036 0.000 0.111] 39178.237053 
570 2761.248 1120.726 [3.559 100.000 0.066 0.019 0.000 0.068] 39326.491097 
571 3215.676 1120.726 [0.678 100.000 0.120 0.010 0.000 0.158] 39478.103180 
572 6708.793 1120.726 [3.114 100.000 0.024 0.010 0.000 0.187] 39649.743564 
573 1979.269 1120.726 [1.015 32.638 0.061 0.176 0.000 0.079] 39781.824337 
574 2750.318 1120.726 [3.445 100.000 0.257 0.010 0.000 0.182] 39959.197069 
575 1795.396 1120.726 [1.379 84.083 0.097 0.055 0.000 0.141] 40106.851751 
576 1463.960 1120.726 [4.934 0.016 20.214 0.010 0.000 0.037] 40286.683249 
577 1841.934 1120.726 [2.029 13.212 0.148 0.263 0.001 0.244] 40455.080146 
578 1253.199 1120.726 [3.210 0.034 15.834 0.198 0.005 0.071] 40600.409015 
579 1351.616 1120.726 [6.419 0.051 8.515 0.094 0.008 0.087] 40763.700327 
580 1531.128 1120.726 [2.539 0.172 0.710 0.122 0.139 0.072] 40880.594802 
581 1639.862 1120.726 [2.032 0.010 25.520 0.034 0.000 0.026] 41020.509077 
582 1525.387 1120.726 [1.700 0.010 100.000 0.949 0.000 0.047] 41172.207474 
583 1919.907 1120.726 [1.361 80.420 0.102 0.037 0.000 0.121] 41316.665969 
584 1185.837 1120.726 [2.386 0.113 1.428 0.251 0.024 0.112] 41476.360147 
585 1838.702 1120.726 [1.560 100.000 0.060 0.235 0.000 0.142] 41613.177301 
586 1680.360 1120.726 [3.028 3.788 0.179 0.074 0.000 0.193] 41769.654982 
587 1733.207 1120.726 [4.391 7.716 0.197 0.010 0.000 0.188] 41918.697486 
588 1577.151 1120.726 [1.937 3.293 0.166 0.556 0.003 0.203] 42079.142604 
589 1679.463 1120.726 [5.018 0.444 1.111 0.010 0.000 0.160] 42239.768812 
590 1413.953 1120.726 [6.215 0.084 4.913 0.010 0.000 0.099] 42374.513033 
591 1644.159 1120.726 [5.081 0.171 4.316 0.010 0.000 0.152] 42549.936107 
592 1117.244 1117.244 [1.960 0.123 0.872 1.081 0.001 0.139] 42720.463073 
593 1723.445 1117.244 [2.870 3.063 0.424 0.010 0.000 0.209] 42867.320798 
594 2078.750 1117.244 [100.000 0.010 3.179 0.010 0.000 0.027] 43059.029639 
595 1797.202 1117.244 [2.204 100.000 0.128 0.010 0.000 0.159] 43201.678641 
596 2073.682 1117.244 [1.940 2.836 0.319 0.010 0.000 0.119] 43357.552463 
597 1576.364 1117.244 [3.348 0.569 0.639 0.022 0.137 0.154] 43480.970416 
598 1297.263 1117.244 [3.558 0.105 3.218 0.045 0.000 0.114] 43642.455050 
599 1579.974 1117.244 [2.876 0.541 0.992 0.059 0.000 0.222] 43791.393213 
600 1618.366 1117.244 [2.898 0.188 4.149 0.021 0.000 0.140] 43934.607145 
601 1320.706 1117.244 [4.345 0.067 6.837 0.043 0.000 0.104] 44082.434276 
602 1286.237 1117.244 [2.924 0.036 6.219 0.035 0.000 0.058] 44229.078189 
603 1724.448 1117.244 [4.316 0.577 1.081 0.010 0.002 0.230] 44388.138311 
604 1125.874 1117.244 [2.087 0.174 0.780 0.911 0.000 0.153] 44534.099352 
605 1413.016 1117.244 [9.029 0.053 3.952 0.010 0.006 0.089] 44695.858450 
606 1622.965 1117.244 [3.528 0.392 1.206 0.041 0.039 0.209] 44850.892766 
607 1216.721 1117.244 [2.675 0.056 5.001 0.123 0.000 0.089] 44996.518153 
608 5529.952 1117.244 [1.206 100.000 0.677 0.010 0.004 0.456] 45107.930821 
609 1313.800 1117.244 [6.018 0.041 5.416 0.058 0.000 0.075] 45261.816879 
610 1629.022 1117.244 [2.239 26.250 0.133 0.010 0.000 0.170] 45400.967045 
611 2640.644 1117.244 [3.042 100.000 0.510 2.496 3.000 3.000] 45542.388268 
612 2203.474 1117.244 [8.821 0.981 0.747 0.010 0.001 0.272] 45743.141338 
613 1304.122 1117.244 [2.502 0.046 7.107 0.010 0.000 0.065] 45887.286718 
614 1489.900 1117.244 [3.210 0.017 8.015 0.010 0.001 0.035] 46044.783675 
615 1929.881 1117.244 [100.000 0.037 100.000 0.424 0.002 0.080] 46190.255160 
616 1280.387 1117.244 [2.313 0.129 2.284 0.028 0.001 0.115] 46356.345017 
617 1429.789 1117.244 [2.326 0.231 1.370 0.010 0.001 0.116] 46513.324886 
618 1386.479 1117.244 [2.536 0.107 3.809 0.010 0.002 0.097] 46680.724042 
619 1250.249 1117.244 [2.355 0.104 2.594 0.114 0.000 0.121] 46858.554790 
620 1695.789 1117.244 [1.508 3.948 0.091 0.229 0.000 0.110] 46995.385072 
