Iteration, Objective function, Best objective function, Parameters, Time elapsed (s)
73 4541.687 4092.527 [100.000 0.025 0.140 10.000 0.952 0.526] 384.549905 
74 22784.011 4092.527 [0.010 100.000 0.010 0.168 0.020 0.000] 397.668096 
75 17529.367 4092.527 [0.010 0.510 100.000 0.010 0.036 0.000] 405.051126 
76 7550.013 4092.527 [0.010 2.789 0.864 10.000 3.000 0.002] 417.125289 
77 13790.082 4092.527 [0.095 1.297 100.000 0.652 3.000 0.000] 430.337760 
78 3213.514 3213.514 [100.000 0.010 0.292 10.000 0.006 0.008] 444.506742 
79 12025.410 3213.514 [100.000 0.010 0.460 10.000 0.005 0.000] 462.732264 
80 3079.566 3079.566 [100.000 0.010 0.176 10.000 0.009 0.064] 477.176947 
81 2554.763 2554.763 [100.000 0.010 0.220 10.000 0.000 0.015] 488.594795 
82 2484.728 2484.728 [100.000 0.010 0.370 10.000 0.001 0.020] 502.515178 
83 4628.322 2484.728 [100.000 0.242 0.057 10.000 0.000 0.014] 515.911354 
84 3368.903 2484.728 [100.000 0.010 0.053 10.000 0.001 0.014] 531.434508 
85 7808.558 2484.728 [100.000 0.052 0.352 10.000 0.000 0.007] 554.881825 
86 8923.443 2484.728 [100.000 100.000 0.010 10.000 0.000 0.221] 571.739028 
87 3906.059 2484.728 [100.000 0.010 0.066 10.000 0.000 0.076] 591.200103 
88 3081.112 2484.728 [100.000 2.137 0.010 10.000 0.000 0.019] 606.616439 
89 11693.018 2484.728 [0.010 0.010 0.010 0.010 0.000 0.000] 623.653873 
90 6120.427 2484.728 [1.930 100.000 0.010 10.000 0.000 0.007] 639.683092 
91 31446.077 2484.728 [0.010 100.000 100.000 10.000 0.000 0.044] 658.137916 
92 6172.170 2484.728 [7.727 2.663 0.010 10.000 0.000 0.004] 674.472271 
93 6582.695 2484.728 [100.000 100.000 0.010 0.704 0.000 0.006] 690.810257 
94 7531.692 2484.728 [100.000 20.854 0.035 10.000 0.000 0.012] 712.296969 
95 2787.465 2484.728 [100.000 0.634 0.037 10.000 0.003 0.067] 723.111051 
96 2981.148 2484.728 [100.000 0.732 0.010 1.222 0.000 0.012] 735.334977 
97 4870.615 2484.728 [100.000 0.177 0.010 10.000 0.000 0.023] 749.181824 
98 2571.831 2484.728 [100.000 1.780 0.027 2.677 0.000 0.035] 763.590749 
99 2809.887 2484.728 [100.000 0.010 0.156 1.175 0.000 0.013] 774.881374 
100 3456.216 2484.728 [100.000 1.925 0.010 3.967 0.001 0.009] 788.526296 
101 2621.017 2484.728 [100.000 0.164 0.099 2.610 0.003 0.029] 802.855629 
102 2922.207 2484.728 [100.000 0.094 0.112 10.000 0.006 0.039] 818.096969 
103 13025.940 2484.728 [1.893 100.000 0.010 0.382 0.000 0.000] 829.297849 
104 2734.020 2484.728 [100.000 0.010 0.199 3.215 0.001 0.017] 842.411607 
105 2649.710 2484.728 [100.000 0.478 0.052 3.476 0.001 0.031] 852.418929 
106 2628.467 2484.728 [100.000 1.144 0.092 3.047 0.007 0.058] 866.384057 
107 6865.191 2484.728 [100.000 1.648 0.076 0.119 0.000 0.014] 878.553587 
108 3103.731 2484.728 [11.525 2.096 0.061 10.000 0.021 0.055] 898.788472 
109 2819.559 2484.728 [100.000 0.774 0.080 10.000 0.042 0.150] 927.212188 
110 3354.486 2484.728 [11.634 19.794 0.010 10.000 0.003 0.036] 950.386771 
111 2687.511 2484.728 [4.944 100.000 0.067 10.000 0.022 0.187] 967.398199 
112 2648.579 2484.728 [18.578 13.883 0.054 10.000 0.012 0.158] 988.574684 
113 3942.832 2484.728 [4.280 35.850 0.064 10.000 0.076 0.060] 1012.095275 
114 3363.439 2484.728 [2.216 100.000 0.045 10.000 0.005 0.058] 1027.895252 
115 6893.160 2484.728 [0.147 100.000 0.800 0.743 3.000 0.018] 1046.746193 
116 3516.901 2484.728 [3.569 100.000 0.118 10.000 0.266 3.000] 1071.463564 
117 2832.401 2484.728 [3.373 28.576 0.043 10.000 0.021 0.330] 1091.150140 
118 2222.457 2222.457 [4.317 100.000 0.231 1.489 0.040 0.403] 1111.347942 
119 2067.565 2067.565 [5.598 100.000 0.077 2.003 0.008 0.193] 1129.094034 
120 2536.356 2067.565 [5.106 39.189 0.106 2.929 0.015 0.130] 1151.001656 
121 4455.048 2067.565 [13.877 100.000 0.153 1.997 0.026 3.000] 1178.288165 
122 2801.515 2067.565 [6.716 2.964 0.108 10.000 0.522 0.641] 1202.739593 
123 7469.412 2067.565 [18.238 100.000 0.494 0.290 0.010 0.123] 1232.081830 
124 2028.467 2028.467 [2.977 100.000 0.093 2.734 0.046 0.362] 1257.961898 
125 1950.251 1950.251 [2.503 100.000 0.448 0.893 3.000 3.000] 1291.189484 
126 2105.062 1950.251 [3.666 100.000 0.334 1.440 0.640 1.528] 1312.048872 
127 4449.819 1950.251 [3.369 18.267 0.167 10.000 3.000 3.000] 1347.305744 
128 4057.865 1950.251 [1.507 100.000 0.565 0.416 0.817 3.000] 1379.467172 
129 4455.211 1950.251 [3.768 100.000 0.022 4.361 0.001 0.165] 1407.385272 
130 2785.394 1950.251 [17.502 2.562 0.077 10.000 0.069 0.470] 1428.903828 
131 2371.653 1950.251 [6.852 100.000 0.539 0.830 3.000 3.000] 1456.941267 
132 1780.116 1780.116 [1.864 100.000 0.399 1.308 3.000 0.927] 1482.899369 
133 3086.899 1780.116 [0.608 0.878 0.093 10.000 3.000 0.049] 1508.588816 
134 3240.624 1780.116 [3.937 0.169 0.112 10.000 3.000 0.370] 1551.443590 
135 4323.724 1780.116 [2.732 1.581 0.182 10.000 3.000 0.155] 1584.134704 
136 2360.787 1780.116 [2.292 0.318 0.066 10.000 0.413 0.090] 1608.017466 
137 2127.319 1780.116 [0.276 0.071 0.040 10.000 3.000 0.013] 1640.282672 
138 2750.744 1780.116 [0.053 0.227 0.028 10.000 3.000 0.010] 1674.684931 
139 1703.604 1703.604 [0.308 0.126 0.040 10.000 3.000 0.050] 1717.894206 
140 2530.896 1703.604 [0.547 0.198 0.025 10.000 3.000 0.035] 1749.410531 
141 1723.736 1703.604 [0.249 0.146 0.060 10.000 3.000 0.030] 1774.961152 
142 1822.249 1703.604 [0.323 0.120 0.044 10.000 1.092 0.032] 1809.119193 
143 2314.376 1703.604 [0.645 0.071 0.056 10.000 1.859 0.050] 1857.660077 
144 2239.820 1703.604 [1.932 100.000 0.208 1.393 3.000 1.442] 1902.550952 
145 1484.711 1484.711 [0.180 0.123 0.040 10.000 3.000 0.029] 1953.309949 
146 2354.528 1484.711 [1.062 100.000 0.284 3.024 0.420 0.517] 1991.188951 
147 2524.228 1484.711 [6.724 0.010 0.132 10.000 0.014 0.014] 2040.913703 
148 2986.460 1484.711 [1.630 0.010 0.042 10.000 0.116 0.010] 2066.787713 
149 1860.723 1484.711 [0.162 0.259 0.045 3.236 3.000 0.028] 2088.756604 
150 2730.233 1484.711 [0.586 9.528 0.209 1.391 3.000 0.308] 2108.395115 
151 2554.631 1484.711 [8.830 0.048 0.067 10.000 0.060 0.042] 2129.076809 
152 1895.842 1484.711 [0.874 2.801 0.071 3.916 0.468 0.124] 2147.851260 
153 2695.345 1484.711 [0.134 0.723 0.056 5.088 3.000 0.058] 2169.370221 
154 2167.795 1484.711 [2.956 1.691 0.095 2.459 0.580 0.178] 2190.141784 
155 2917.402 1484.711 [0.981 0.110 0.035 10.000 0.042 0.016] 2206.182633 
156 2952.104 1484.711 [0.841 0.787 0.056 2.990 0.318 0.029] 2226.993175 
157 1559.827 1484.711 [0.178 0.116 0.039 6.592 3.000 0.026] 2262.141180 
158 1592.560 1484.711 [2.127 15.048 0.146 2.595 0.403 0.319] 2302.220769 
159 1923.346 1484.711 [2.464 6.194 0.088 4.161 0.212 0.233] 2353.931522 
160 1638.648 1484.711 [1.444 10.889 0.121 2.149 0.781 0.159] 2388.686165 
161 12015.268 1484.711 [3.656 0.010 0.010 0.010 3.000 0.000] 2420.144744 
162 1833.664 1484.711 [1.694 43.272 0.249 1.222 0.705 0.323] 2465.356634 
163 1835.449 1484.711 [1.829 9.679 0.106 2.867 0.853 0.318] 2504.122847 
164 3176.040 1484.711 [0.078 0.010 0.015 10.000 3.000 0.012] 2527.195898 
