
[000:00:55]	7397.93670644	[     8.272,     49.013,      2.529,      1.550,      1.940,      3.550]	c

[000:00:56]	13192.0690424	[     8.272,      2.215,     40.674,      2.256,      4.341,      3.361]	c

[000:00:56]	12499.0466465	[     4.436,     28.275,     40.674,      2.256,      3.218,      2.123]	c

[000:00:57]	20393.4101993	[    57.732,     12.916,     37.726,      1.559,      2.215,      4.188]	r

[000:00:58]	20577.3181064	[    37.721,     62.779,     73.114,      1.498,      4.326,      4.046]	r

[000:00:58]	13258.0982233	[     3.756,      7.210,     27.882,      4.667,      1.214,      0.787]	rmm

[000:00:59]	14772.9380515	[     6.535,      7.210,     27.882,      4.667,      1.214,      0.787]	rmm

[000:01:00]	4998.31150394	[   100.000,     18.167,      0.542,      4.676,      0.698,      4.239]	rmm

[000:01:02]	4979.63854326	[    77.667,     18.167,      0.542,      4.676,      0.698,      4.239]	rmm

[000:01:04]	7834.39110879	[   100.000,     11.773,      1.039,      4.676,      0.698,      4.239]	rm

[000:01:05]	7803.44751786	[    77.540,     11.773,      1.039,      4.676,      0.698,      4.239]	rm

[000:01:06]	7545.26212528	[    16.501,     12.916,      2.529,      1.559,      2.215,      4.188]	c

[000:01:06]	7612.06445884	[    91.499,     18.167,      0.542,      5.507,      0.698,      1.085]	c

[000:01:08]	7068.42247304	[     8.272,     11.773,      1.039,      4.676,      0.698,      4.239]	c

[000:01:09]	21492.6680422	[    63.218,      9.466,     31.312,      7.188,      4.939,      0.339]	r

[000:01:09]	11446.1974327	[    14.065,     16.404,      4.167,      1.741,      1.619,      1.552]	r

[000:01:10]	11759.2832994	[    14.065,     16.404,      4.167,      1.741,      1.619,      0.950]	rm

[000:01:10]	11200.3649649	[    14.065,     16.404,      4.167,      1.741,      1.619,      2.079]	rm

[000:01:11]	7593.61991304	[     8.272,     49.013,      2.052,      2.089,      1.940,      3.550]	cm

[000:01:11]	7149.4061021	[     8.272,     49.013,      3.680,      0.920,      1.940,      3.550]	cm

[000:01:13]	7809.85808208	[    77.540,     11.773,      1.039,      4.676,      0.577,      4.239]	rmm

[000:01:15]	7792.30310783	[    77.540,     11.773,      1.039,      4.676,      0.960,      4.239]	rmm

[000:01:15]	16423.2675885	[    91.499,     16.404,      4.167,      4.676,      0.698,      1.552]	c

[000:01:17]	4909.39768318	[    91.499,     12.916,      0.542,      4.676,      0.698,      4.239]	c

[000:01:17]	7296.46359782	[    91.499,     18.167,      0.542,      4.676,      0.698,      1.085]	c

[000:01:19]	19961.9437036	[    28.531,     12.289,     61.417,      4.142,      1.730,      3.513]	r

[000:01:19]	23049.4155521	[    65.531,     97.029,     36.799,      2.068,      1.040,      2.947]	r

[000:01:20]	6721.33253768	[    91.499,     18.167,      0.479,      4.676,      0.698,      1.085]	cm

[000:01:20]	7757.30330783	[    91.499,     18.167,      0.597,      4.676,      0.698,      1.085]	cm

[000:01:22]	6090.69289349	[    77.667,     18.167,      0.542,      6.468,      0.778,      4.239]	rmmm

[000:01:24]	4296.13276077	[    77.667,     18.167,      0.542,      3.597,      0.531,      4.239]	rmmm

[000:01:25]	11253.9880496	[    77.540,     11.773,      1.618,      4.676,      0.960,      2.164]	rmmm

[000:01:27]	6868.48057239	[    77.540,     11.773,      0.944,      4.676,      0.960,      6.254]	rmmm

[000:01:28]	15840.6871334	[    91.499,     49.013,      3.680,      4.676,      1.940,      3.550]	c

[000:01:29]	3507.88455868	[    91.499,     12.916,      0.542,      1.741,      1.619,      4.239]	c

