Iteration	Y	var_1	var_2
1.0	16186.207547675664	68.13911129455754	81.54831194024949
2.0	15031.770085423912	39.751641340585195	15.093962971804714
3.0	15025.136041544909	39.71671714532106	14.973206284687553
4.0	14865.43094685274	38.97952120924341	12.46905977611677
5.0	14595.567417298207	38.11163546842894	9.500486555507933
6.0	14147.835228877157	37.43993132106857	6.510611269160118
7.0	13549.111544236071	37.55282243559894	4.305986318424392
8.0	13348.80138607019	42.661536606984626	3.6100433074544553
9.0	12400.389312234838	38.12990837338677	2.3213111726524724
10.0	11186.187847051886	38.33757400116508	1.3506473593725448
11.0	9677.489825807093	38.47343232904502	0.6885268969857613
12.0	9452.185948452554	38.488784427040294	0.6124694998439169
13.0	10790.622132780112	38.64628905837972	0.08443391577620647
14.0	9386.622846132306	38.44172406853839	0.5910120328951335
15.0	9179.268295998836	38.3613542614388	0.5232691710000332
16.0	9009.01761909436	38.3147329116442	0.4666640322328813
17.0	8925.3079244281	38.29426826010345	0.43768830002210496
18.0	10982.56762843038	39.60960153871674	1.2274710009787193
19.0	8755.24990782218	38.25794698642972	0.37228675065064204
20.0	8678.739891405015	38.239688092236804	0.3348084687761951
21.0	8631.409329332771	38.222112466727644	0.300179635631158
22.0	14234.760904976512	14.793590147042993	88.86415479977207
23.0	9571.46751425201	31.36567766738084	0.6931590613076836
24.0	8667.487706834558	32.133279268165154	0.3735711862275577
25.0	8704.123307468024	32.08374206053443	0.19503188743579833
26.0	8539.190240579188	32.31860436743742	0.2900364576448411
27.0	8538.836231269515	32.44448975781116	0.2618354086491464
28.0	8697.74667322912	32.42728825900462	0.3843842687539544
29.0	11625.300449742415	31.6989157669971	1.7332006223687713
30.0	8631.775624281465	32.39367018474409	0.2123356849264622
31.0	8540.563352080142	32.59193948422442	0.2632553555862288
32.0	8672.935235263745	32.993865246018125	0.20439864180916625
33.0	13308.073451777362	24.51391222853799	4.835077451879158
34.0	16249.944284474173	84.67141929783035	53.05887380801341
35.0	15842.572658637606	54.763476862713624	42.14980533579065
36.0	15739.324321736136	41.7561037227066	88.16260091510819
37.0	9216.134550358558	33.56259394253412	0.14237713497860705
38.0	8691.033266505228	31.519119517129244	0.19576212150803066
39.0	10932.654106938107	31.045961533305892	0.0790102970996283
40.0	14820.48372604663	21.7615410406819	59.29510776347896
41.0	8627.951073430253	38.04939710398862	0.24891226396305446
42.0	14380.385862316636	79.68393639646848	5.279963547416913
43.0	32853.07996680243	34.88241416583214	0.001
44.0	8828.011181755217	33.29271208858819	0.17851468424696654
45.0	13074.834025808042	30.334183937069298	3.635453345371056
46.0	16151.880000114414	99.53173038997848	30.465775491320894
47.0	10117.741384817204	1.786074086066724	24.704737618864332
48.0	10669.657382310663	2.78973691425775	23.949262519246723
49.0	10003.978928139322	1.1672955632343918	23.611467018585408
50.0	10110.627194900393	1.8115673254961577	22.456838454382204
51.0	11752.11584021255	0.49445297603402866	22.35824843530174
52.0	11833.787267903923	0.4864324407800858	24.85312932082538
53.0	10822.013788479004	3.0913598942752727	22.022722713754362
54.0	10674.185907201063	2.7687670094881	25.848576922153605
55.0	11644.361214515182	4.64682799512852	25.664338217663854
56.0	10186.15856505857	1.9487551793408342	23.392169139466528
57.0	10217.811432018902	2.0582503477611462	20.766774581400693
58.0	10818.879931731044	3.135858088621362	19.83749739218756
59.0	9948.25102216029	1.4058988610369223	19.41386100575653
60.0	10120.633633665548	1.9299251630232606	18.302745490652928
61.0	10908.595440893476	0.6286687455036576	18.391100076493235
62.0	10870.961081780895	3.29110087618897	17.755872184699776
63.0	10321.331521379248	2.139042650366085	27.710548349254637
