Iteration	Y	var_1
1.0	8773.921302910941	54.98227839510158
2.0	8741.988001345175	50.52360902593055
3.0	8741.791975395365	50.4981918504424
4.0	8738.043444157176	50.01637490642513
5.0	8721.463081806158	47.97739987602871
6.0	8702.88877250919	45.85772839335687
7.0	8581.870014045933	35.22194168133695
8.0	8304.909818042936	21.907002651470055
9.0	8108.844647020931	16.675179824775434
10.0	6749.288028403341	3.8478047071295873
11.0	9109.560286376305	0.38388822181232307
12.0	6790.950134112791	4.031506777698062
13.0	6722.9629329766285	3.733729334326516
14.0	6700.0774215054835	3.6356583342808513
15.0	6674.035753169518	3.5251436382478945
16.0	6642.089364963257	3.3908622924167156
17.0	6614.835930922112	3.2771408101958253
18.0	6590.659022200934	3.1766451352654754
19.0	6549.120094802725	3.0040680894658256
20.0	6521.987732757491	2.890740874032771
21.0	6495.605080874625	2.7794057293626158
22.0	6470.859276448756	2.673254074761877
23.0	6446.3592199449	2.565595274445287
24.0	6422.3412929010055	2.4562972231500524
25.0	6399.020233430272	2.344691869653083
26.0	6376.710459610177	2.2298140340602313
27.0	6355.916554042827	2.1102703788299815
28.0	8948.792317426984	99.95570204041476
29.0	8883.260261370573	77.19687902663064
30.0	8835.654544491656	65.86029094068074
31.0	8919.696862491992	88.518662407055
32.0	7611.879561411092	9.381132651545466
33.0	8463.26711283222	28.257030824562825
34.0	6337.323179677853	1.9824638201589075
35.0	8648.094873598164	40.451478569553814
36.0	8861.0229237486	71.49913443106506
37.0	8902.35343438025	82.77893493219968
38.0	8934.860551871072	94.1616213563951
39.0	8806.947924024858	60.369930109829774
40.0	7886.578331259781	12.699607123507645
41.0	7283.486111758858	6.700932351698898
42.0	8527.18006404366	31.696805622250146
43.0	8390.318646571544	25.012898622689978
44.0	8214.06357983058	19.213691985467676
45.0	6323.371128715102	1.8499081188686857
46.0	8616.681706773154	37.81937945581663
47.0	8872.500575831516	74.34193823828157
48.0	8676.54230345596	43.114025224656004
49.0	8848.733846242398	68.66427718115737
50.0	8911.277909982553	85.64508942694356
51.0	8941.97592401189	97.04153632345202
52.0	8821.780125958765	63.10098742400919
53.0	8893.087396431165	79.98192804138702
54.0	8927.477163339468	91.33442968311431
55.0	8004.166428677864	14.610370927376582
56.0	8791.010377100392	57.65957647604905
57.0	7082.704673376669	5.474719323902275
58.0	7755.301392599574	10.949250858349565
59.0	7465.730026058366	8.059588585473747
60.0	6316.681996898673	1.7112920906541371
61.0	8760.604960820308	53.0428096110051
62.0	8496.05016589051	29.94112694563926
63.0	8556.52258731348	33.51167401284168
64.0	8348.939585207898	23.427548172605178
65.0	8429.189150783139	26.66266392524881
66.0	8163.779615590989	17.933522939324238
67.0	8261.487914543319	20.552103879424045
68.0	6322.922709731868	1.5523635015469086
69.0	8877.92770252546	75.75776174289456
70.0	8945.55390186552	98.55145633645716
71.0	8689.871822373558	44.466010128733195
72.0	8915.580327914384	87.09203979502003
73.0	8855.083260949457	70.10336288064393
74.0	8632.703954404864	39.12462700131062
75.0	8829.233871187105	64.55729247345477
76.0	8931.07610915685	92.69284049839865
77.0	8799.112802706619	59.010107636687394
78.0	8898.29600155735	81.53272513582408
79.0	8938.458965159427	95.59819760718266
80.0	8866.763366386733	72.89609373290354
81.0	8906.562818516653	84.10877169683654
82.0	8598.739365769552	36.44216079155954
83.0	8842.641689539561	67.33229027959773
84.0	8782.157980546264	56.244892691880814
85.0	8888.42637048642	78.63875328039688
86.0	8662.872312745016	41.79862133885461
87.0	8923.468115784059	89.86344584125553
88.0	8814.692408694937	61.76927158888944
89.0	8058.39878030755	15.630738537013382
90.0	6968.391044788123	4.870652398586511
91.0	7823.862464321983	11.819815289757205
92.0	6372.882710791177	1.3211228650382052
93.0	7950.933000244264	13.698716402274913
94.0	8712.678057659936	46.954335291194575
95.0	7375.670814345099	7.353667868536187
96.0	8753.50334562592	52.056605035206175
97.0	7685.0255009033635	10.14218963375742
98.0	8542.185005678832	32.604108092683106
99.0	8410.38510856467	25.843625565678483
100.0	8767.219819395852	53.99105642646125
101.0	8480.395538354565	29.11722507691493
